id,典籍名,效果,介绍
10,周髀算经,,《周髀算经》也简称《周髀》，是中国古代一本数学专业书籍，在中国唐代收入《算经十书》，并为《十经》的第一部。“周髀”这个名称，按该书中的解释，“周”指的是周代，指从周代传下来的一些方法，“髀”原意指的是股或者股骨，在这里的意思是“用来测量日影的长八尺之表”。《周髀》的成书年代至今没有统一的说法，有人认为是周公所作，也有人认为是在西汉末年写成。《周髀》本是一部阐明“盖天说”和“四分历法”的古天文学著作。由于天文历法需要数学运算，所以书中有许多关于数学方面的内容，主要是分数的乘除法、公分母的求法、分数的应用、等差级数的演进次序，以及用勾股定理来进行天文计算等。李淳风注释费学著作时，将《周髀》改名为《周髀算经》。它是中国历史上最早的一部天文历算著作，也是中国流传至今最早的数学著作，是后世数学的源头，其算术化倾向决定中国数学发展的性质，历代数学家奉为经典。在四库全书中为子部天文算法推步类。
11,孙子算经,,《孙子算经》为《算经十书》之一。虽然标名“孙子”，实际并非春秋时期军事家孙武著作。孙子算经的确切成书年代不详，学者根据书中事物出现的时间，估计孙子算经成书于南北朝。全书共分三卷，上卷详细的讨论了叙述度量衡制度，筹算记数的纵横相间制与筹算乘除法则；中卷主要是关于分数的应用题，包括面积、体积、等比数列等计算题，大致都在《九章》中论述的范围之内；下卷对后世的影响最为深远，为切于民生日用的实际应用题，涉及到测望、田域、营建、贸易、仓窖、赋役、军旅等方面共计30题。卷下“妇人荡杯”、“雉兔同笼”以其独特的解法广为人知，最为著名的是卷下第26题“物不知数”（又称“孙子问题”），其解法为宋时秦九韶推广为“大衍求术”（一次同余式组的系统解法）而著称于世。现今流传的《孙子算经》已非原貌，不少内容由后人附加或改动。
12,海岛算经,,《海岛算经》又称《重差》，是三国时代魏国数学家刘徽所著的测量学著作，原为《刘徽九章算术注》第九卷勾股章内容的延续和发展，名为《九章重差图》，附于《刘徽九章算术注》之后作为第十章。唐代将《重差》从《九章》分离出来，单独成书，按第一题“今有望海岛”，取名为《海岛算经》，是《算经十书》之一。《海岛算经》是一部关于测量数学的著作，主要讲述利用标杆进行两次、三次、四次测量目的物的高度和距离的方法，由此总结和发展“二重差方法”，阐明了相似三角形的性质及其应用，为我国古代地图学的发展奠定了数学基础。刘徽《海岛算经》“使中国测量学达到登峰造极的地步”，使“中国在数学测量学的成就，超越西方约一千年”。（美国数学家弗兰克·斯委特兹语）
13,张邱建算经,,《张邱建算经》上、中、下三卷，北魏数学家张邱建著。隋刘孝孙细草。现存张邱建算经只剩九十二条。唐朝时被李淳风定为《算经十书》之一。清朝乾隆年间，将张邱建算经的北宋刊本收入《四库全书》子部六，共一百条。据《四库全书提要》，此书唐志记载得一卷，有汉中郡守甄鸾注解的“术曰”、唐朝议大夫行太史令上轻车都尉李淳风的小字按语和唐算学博士刘孝孙的细草“草曰”。张邱建算经的主要贡献有三：提出求最小公倍数的算法；提出计算等差级数的公式；“百鸡问题”首创不定方程的研究，对后世影响深远。
14,五曹算经,,《五曹算经》是一部为地方行政官员编写的实用算术书，算经十书之一，相传为北周甄鸾编撰的算术书。全书五卷共有67个算术问题：第一卷田曹19问，讲田亩面积的计算；第二卷兵曹12问，讲配置军队及军需给养问题；第三卷集曹14问，主要讲各种粮食的交换；第四卷仓曹12问，解决粮食的征收和储藏问题；第五卷金曹10问，讲丝、绢、钱币等的交易互换。《五曹算经》对政府有关官员的业务工作有很大的帮助，但内容却有不少失误。
15,五经算术,,《五经算术》为算经十书之一，北周甄鸾撰。全书共两卷，搜集了《周易》、《诗经》、《尚书》、《周礼》、《仪礼》、《礼记》、《论语》、《左传》、《汉书》等典籍中有关历算、音律的文字予以注释，涉及的数学内容包括大数进位制、分数的运算、开方和体积计算及等比数列问题。《五经算术》是一部别开生面的研究儒家经典的著作。
16,缉古算经,,《缉古算经》，原名《缉古算术》，初唐数学家王孝通著于武德九年〔626年〕前所著。后被列入算经十书，改名为《缉古算经》。它是中国最早的一部论述开带从立方的数学著作，全书共20题，第1题为天文问题，第2至6题和第8题是土方体积问题，第7题和第9至14题为地窖和仓库容积问题，第15至20题是勾股问题。第1题以算术方法求解，其次17题归结为一元三次方程，末2题归结为“双二次”方程。一元三次方程的建立和解法（开带从立方）为讨论的重点，全书共列出三次方程28个，在每一条有关的术文之下，王孝通都加以自注，说明方程系数的来历，据此，人们可知王氏列方程的程序。该书依靠几何方法建立方程，对方程的解法则言之不详，方程的系数亦有所限制，根则限于正数且只求一解。传本《缉古算经》已残缺，前16问较为完整，后4问多有文字烂脱，清人为之述草、补图者较多。
17,数术记遗,,《数术记遗》又做《术数记遗》，共一卷，题署东汉徐岳撰，北周甄鸾注。唐朝列为明算科考试必读课本，算经十书之一。关于该书作者目前尚无一致意见，该书系徐岳追记其师刘洪与天目先生的问答，并非系统的数学著作。该书正文主要内容是记载大数进位法和十四种算法名称。其十四种算法是：积算、太一算、两仪算、三才算、五行算、八卦算、九宫算、运筹算、了知算、成数算、把头算、龟算、珠算、计数。这些算法的意义目前还不清楚。因其为唐代明算科考试的“帖读”之本，故得以流传后世。
18,夏侯阳算经,,《夏侯阳算经》相传是北魏人夏侯阳所作，是唐代立于官学的《算经十书》之一，原书到宋代已失传。今传本《夏侯阳算经》为北宋重刻《算经十书》时将《韩延算术》冠以《夏侯阳算经》之名编入其中，因而得以流传。《韩延算术》是唐代的一部实用算术书，分上、中、下三卷共83个问题，征引前朝各家算术和当时法令颇多。卷上六章：“明乘除法”、辩度量衡”、“言斛法不同”、“课租庸”、“论步数不等”、“变米数”，重点叙述租庸调的计算法；卷中五章：“求地税”、“分禄”、“计给粮”、“定脚价”、“称轻重”，叙述官本利息的分配和赋税征派问题；卷下为“说诸分”章，专论奇零分法。全书给出很多乘除简捷算法。
19,算数书,,《算数书》是中国现已发现的流传至今的最古的数学著作。这是1984年出土于湖北省江陵县荆州城西门外张家山M247号西汉早期古墓的一部竹简书，无卷数，不知撰人。全书竹简约200枚，其中整简180余枚，其余已残断。全部文字约7000字，字体为隶书，一般用墨笔写在竹黄一面，每枚竹简的字数多少不定。《算数书》不分章节，全书由60多个小标题和80多个问题组成，其小标题可分为两类：一类是算法，一类是算题。算法的小标题如“相乘”、“合分”、“增减”、“分乘”、“径分”、“约分”等；算题的小标题有“石衡”、“少广”、“出金”、“铜耗”、“方田”、“贾盐”、“税田”、“息钱”、“负炭”、“程禾”、“金贾”等。在算题这类小标题之下，列有结合当时生产实践的应用问题，每一应用问题都是由“问”、“答”、“术”三部分组成。经过专家考证，认为《算数书》的成书年代不晚于公元前186年。
20,缀术,,《缀术》是中国南北朝时的一部算经，汇集了祖冲之父子的数学研究成果。根据《旧唐书》和《新唐书》记载，《缀术》五卷，为李淳风注释。这本书被认为内容深奥，以至“学官莫能究其深奥，故废而不理”（《隋书》）。《缀术》在唐代被收入《算经十书》，成为唐代国子监算学课本，当时学习《缀术》需要四年的时间，可见《缀术》的艰深。《缀术》曾经传至朝鲜、日本，但到北宋元丰七年（1084年）秘书省重新刊刻《算经十书》时，这部书就已亡佚。
21,谢察微算经,,《谢察微算经》原名《发蒙算经》，宋代算书。是一部内容浅显的启蒙算书。三卷，宋谢察微撰。原书已失传，但其第一卷的开头部分被收录在明初陶宗仪编纂的《说郛》中，。内容共计八条：“大数”、“小数”、“度”、“量”、“衡”、“亩”、“九章名义”、“用字例义”。在每条之下有若干款，每款之后有小字作注，如“小数”：“分”，注日“十厘为分”；厘”注曰“十毫”等。在“用字例义”中，作者对73个数学中的术语或常用字、词给出简短的解释，有些类似定义。对一词多义者分别阐述，如“乘，法之多位者”，又“乘，法实合变数也”；对一些容易混淆的词也作了区别，如“差，多少不同数也”，“较，相除余也”等。明代程大位《算法统宗》中几乎一字不漏地照录了《说郛》中记载的《谢察微算经》残文，清初编辑的大型丛书《古今图书集成》第一百一十二卷算法部汇考引用了《谢察微算经》，当代中算史家李迪在所著《中国数学通史·上古到五代卷》中也将《谢察微算经》残文全部录出。
22,敦煌算书,,《敦煌算书》是20世纪初发现于中国甘肃敦煌莫高窟的手写数学文献原件。这些数学文献总计近20件，包括算书、算表、算经若干，但没有一件首尾完整，有的仅是残页，有的抄在佛经或其他文献的背面。其内容主要是九九表和一些算题，其年代约在公元5世纪至10世纪间。它们是除《算数书》外的最早的数学文献原件，是了解千余年前数学的内容、形式等的一组珍贵的资料。
23,黄帝九章算法细草,,《黄帝九章算法细草》是宋代算书，九卷，宋贾宪撰，今已失传。该书有些内容被杨辉《详解九章算法》摘录。在《详解九章算法》的最末一卷“纂类”中录有“贾宪立成释锁平方法”、“增乘开平方法”、“贾宪立成释锁立方法”及“增乘（开立）方法”术文四则。其中，“释锁开方”二法分别和《九章算术》开平方、开立方法接近，而所述“增乘开方法”为新法。“增乘（开立）方法”术文后有6个开立方的题目，第1题即为《九章算术》少广章第19题杨辉还引录了贾宪的“开方作法本源图”和“增乘方求廉法草”，此二者是“增乘开方法”原理的概括“开方作法本源图”今通称为“贾宪三角形”或“贾宪三角”。
24,算学源流,,《算学源流》是中国最早的部简明数学史纲，不分卷，作者不详。该书引《晋书》关于隶首作数、《汉书》备数、《周礼》保氏九数、《汉书》关于张苍定章程的记载，以及《唐书》选举志、百官志，宋崇宁（1102-1106年）国子监算学令等有关唐宋算学馆的课程设置、教员配制、教学制度、考试制度以及科举制度的规定等。宋鲍之刻《数术记遗》时，将其附刻于后.1980年，又被收入文物出版社出版的《宋刻算经六种》之中。
25,数书九章,,《数书九章》是中国宋元时代部有代表性意义的数学著作，原名《数术大略》，宋秦九韶撰。成书于1247年，全书共十八卷81题，分为九章。《数书九章》在写作体例和选用题材方面都继承了《九章算术》的传统，但在中国古算构造性和机械化的特色方面得到了更为突出的体现。其代表成果是关于一次同余式组解法的大衍求一术和关于高次方程数值解法的正负开方术，这两项工作都走在世界前列此外，在线性方程组、统计数学、几何与测量等方面都有创新。宋元时期，该书并未刊刻，仅有抄本流传。明《永乐大典》抄录此书，题称《数学九章》，清《四库全书》中的《数书九章》即由此辑出。
26,测圆海镜,,《测圆海镜》原名《测圆海镜细草》。是中国现存最早的一部以天元术为主要内容的著作，十二卷，元李冶撰。该书卷首为“圆城图式”，该图以一个直角三角形及其内切圆为基础，通过若干互相平行或垂直的线段，构成16个直角三角形。全书170个问题都与这幅图形有关。图式之后是“总率名号”和“今问正数”，前者给出图中各勾股形名称，后者以通弦六百八十，通勾三百二十，通股六百为基数，给出各种勾股形边长之间的关系，以便验证，卷首最后列“识别杂记”692条，逐一列举了勾股形各边及其和、较、积与圆的关系，每一条都相当于一个几何定理。这部分内容是对中国古代勾股容圆问题的总结，这在中国古代数学著作中是绝无仅有的。卷二至十二为170个问题，每题含“法”、“草”两部分。“法”是该类问题的一般解法，“草”是演题的具体过程，全书构成一个演绎体系，卷一包含了解题所需要的基本理论，后面各卷问题的解法均可在此基础上以天元术为工具推导出来。该书的主要价值还在于其借助于各种几何关系来建立高次方程，从而全面系统地介绍天元术的理论和算法。
27,益古演段,,《益古演段》是普及天元术的著作，元李冶撰，三卷，作于1259年。该书是在蒋周所撰《益古集》的基础上，“再为移补条段，细翻图式，使粗知十百者，便得人室啖其文”，全书64题，除4题为一次方程外，其余皆为二次方程，每题包括“法依条段求之”、“条段图”“义“四部分，法，即天元术；条段，是用来表示方程各项的一段段的条形面积；依条段求之，即用人们易懂的几何方法对天元术进行解释；图，为方程各项几何关系的图解：义，即图的文字说明，其将再周的演段法（旧术）与天元术（新术）并列，旨在普及新术，此外，在化多元问题为一元问题，以及设辅助未知数等方面亦有创新。
28,算法统宗,,《算法统宗》，又名《直指算法统宗》、《新编直指算法统宗》，明代数学家程大位撰，凡17卷。1592年编成《算法统宗》共列算题595道，以珠算为主要的计算工具，卷一介绍数学常识，卷二介绍珠算，卷三以后分别为方田、粟布、衰分、少广、分田截积、商功、均输、盈亏、方程、勾等，第十七卷附以难题杂法，又列有14个纵横图。意大利有一种格子乘法，传入中国后，在《算法统宗》称“铺地锦”。后又取精华部分，另编成《算法纂要》4卷，于1598年刊行。日本人毛利重能将《算法统宗》译成日文。
29,数学通轨,,《数学通轨》是明代珠算书，不分卷，明柯尚迁撰，成书于1578年，全书分四部分：算学须知，含数原（数的生成和进位制及度量衡）、初定算盘图式、九九上法语（加法口诀）、九九进退图式、习数法语、习九九总念歌、九归总歌法语（九归口诀）、九归因乘法语（乘法口诀），九归重演法语、撞归法语（撞归口诀）、还原法语（还原口诀）、因法、乘法、九九上进下退法语图式、九因九归总歌等；归除诠要。含因乘归除义、加法、减法、金蝉法义、九归分数、九因法总数、定身除法、加法、归除法分数、乘法等；九章释例，讨论《九章算术》的一些内容；九章总义。为算学杂论，主要是顾应祥《测圆海镜分类释术》序及唐质之有关数学的论述，其中“初定算盘图式“为珠算盘图，上二珠，下五珠，中间用本制横条隔开，与现在使用的算盘相同。《数学通轨》与《书学通轨》合成二集，附于《曲礼外集补学礼六艺附录数学通轨》之后。
30,同文算指,,《同文算指》是明代算书，中国第一部系统介绍欧洲笔算的著作，由明李之藻和意大利传教士利玛窦根据德国数学家克拉维乌斯的《实用算术概论》与明程大位的《算法统宗》等书编译，包括“前编“二卷，“通编”八卷和“别编”一卷，书成于1613年。但“别编“未刊仅有“截圆弦算”一节，以抄本传世，“前编”二卷介绍笔算的定位法和整数、分数的四则运算及约分、通分，其中整数除法为15-16世纪欧洲的“帆船法”，整数的加减法以九减法、七减法进行验算，这些方法今已不用。书中将最大公约数称为纽数，分数的记法是分数线上为分母、分数线下为分子，与欧洲笔算记法相颠倒。“通响”八卷18节，是全书的中心内容，叙述了比例（包括正比，反比和复比）比例分配盈芳，一次方程组，数列（包括等差数列和等比数列）、开平方、开立方，开高次方，带从开平方等算法，该编在目录中注明“补若干条”“俱补”者，其内容采自中国传统的数学著作此外，该编还人《算法统宗》，《勾股义》和《测量法义》中的一些难题，全书所有数码用汉字数字，所论内容并未超出中国传统数学范围，而笔算则是一种新的方法，对中国后来的算术影响很大清代数学家对其非常重视，不断克服其缺点，使其渐臻完善，得以推广普及。
31,圜解,,《圜解》是清初论述平面三角的数学著作。一卷，清初王锡阐撰，撰著年代不详该书主要讨论三角八线的性质及两角和，差的正弦和余弦公式。王锡阐对两角的多种不同情形，均按照中国古代传统数学的方法和《几何原本》的理论逐一给出证明在证明公式之前，王锡阐对所用到的数学名词和数学概念给以定义，有些与当时天算家的定义相同，有些对传统定义有所发展，有些则是引入新的概念，书中用“折”的概念取代几何学中“角”的概念，这一新概念几乎涉及到所有《几何原本》的定理，书中特别之处是对“平行线”没有给出明确的定义，并且对“圜中平行两线，得皆不为圜经，不得皆为经”这一定理没有给出证明。
32,算海说详,,《算海说详》是清初珠算书。李长茂撰，刻于1659年。共九卷，分订六册，现于北京故宫博物院图书馆藏一孤本第一卷为汇法章，介绍各种珠算算法，多系《算法统宗》内容，但所论较详，其中诗词亦有不同，如撞归法歇云：“归除之法要周知，数盈进上归成十。有归若是无除数，作九下将归数施，或仍无除再起一，下加归数以除之，”内介绍四种后乘法，并加以正确评论。另有“首位挨乘法”这在珠算书中是第一次出现，是乘法的捷算法，为李长茂首创，第二卷，轨区章，为田亩计算；第三卷，勾股章，为勾股形解法：第四卷，开方章，为开平方，开立方、开四次方各法；第五卷，测贮章，为体积算法与堆垛计算；第六卷，功程章，为土方人工计算；第七卷，镜泉章，为斤两换算及利息计算；第八卷，衰分章，为比例分配计算；第九卷，匿覆章，为差分计算、盈不足和工程问题全部内容，仍不出《算法统宗》范围，而所论较详。
33,数度衍,,《数度衍》是清代算书。清方中适撰，成稿于1661年，刻于1687年，全书二十三卷，分订八册，卷首，数原、律衍、几何约、重学解；卷一，珠算；卷二，三，笔算：卷四，筹算；卷五，尺算；卷六至卷八，勾股章；卷九至卷十四，少广章：卷十五，方田章；卷十六，商功章；卷十七至十八，差分章；卷十九，均输章；卷二十，盈劳章；卷二十一，方程章；卷二十二，菜布章；卷二十三，九章解法，书中对清初流行的“四算”介绍较详其弟方中履在序中说：“合四法而论其长，则珠之加减，笔之除，筹之乘，尺之比例。“正确地指出当时流传的“四算”之优点，其内容以西算为主，杂以中算大抵集辑诸家之长，而增损润色，勒为此编。珠算内有“乘除新法”，增加五倍折中之法，为金蝉算之发展。又附其子方正珠之“正珠乘除新法”，实为今之外数乘除法。
34,数理精髓,,《数理精髓》是中国第一部按学科编排的数学著作，为康熙敕编百卷乐律历算书《律历渊源》中的第三种，由梅彀成等人汇编，历时十年，于康熙六十一年（1722）六月成书，并于雍正元年（1723）十月首次刻竣。《数理精蕴》共53卷，分为三部分：上编5卷，下编40卷及数学用表四种8卷，上编题为“立纲明体”，主要内容为“数理本源”、“几何原本”、“算法原本”，提出了指导全书的基本理论：下编名为“分条致用”主要内容为算术、平面几何与平面三角、立体几何、代数、分为“首部”、“线部”“面部”、“体部”、“末部”五部分。首部两卷（卷一、卷二），讲度量衡制度、定位制度、整数与分数的四则运算。线部八卷（卷三至卷十），叙述各种比例问题、盈不足术及一次方程组解法。面部十二卷（卷十一至卷二十二），为平面几何、平面三角及开平方等问题，其中卷十六给出圆内接正十四边形和正十八边形边长求法及由本弧通弦求其三分之一弧通弦法，为造三角函数表的新增方法。体部八卷（卷二十三至卷三十），专论立体几何末部十卷（卷三十一至卷四十），主要介绍西方传入的代数学知识，其中卷三十一至卷三十六为“借根方比例”，借根方比例又称借根方法，所介绍的主要内容是方程的建立和解法，给出高次方程正根的一种求法，此法与中国传统数学的开方术原理相同；卷三十八介绍对数表造法，包括对数求法和造表程序，对数求法有中比例法、真数递次自乘法及递次开方法等三种。下编最后的四种数学用表是三角函数表、素因数表、对数表及三角函数对数表，《数理精蕴》汇集了1690年以来传人的西方数学知识并吸收了中国数学家的一些研究成果，对清代数学的发展产生了重要影响，此书后被收入《四库全书》。
