Date : 2024-02-16 21:22:23
Directory : h:\unity\SE-LOCM
Total : 779 files,  78486 codes, 19310 comments, 16793 blanks, all 114589 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| SE_LOCM\Assets\Fungus\Scripts\VariableTypes (Files)                                                                                                                                          |         27 |      1,410 |        218 |        246 |      1,874 |
| SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collection                                                                                                                                       |         10 |        484 |         39 |        101 |        624 |
| SE_LOCM\Assets\Fungus\Thirdparty                                                                                                                                                             |        319 |     40,222 |     13,609 |      9,090 |     62,921 |
| SE_LOCM\Assets\Fungus\Thirdparty\CSVParser                                                                                                                                                   |          2 |        225 |         10 |         47 |        282 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua                                                                                                                                                   |        286 |     28,227 |      7,670 |      6,448 |     42,345 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Scripts                                                                                                                                           |         22 |      2,112 |        578 |        488 |      3,178 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Scripts\Components                                                                                                                                |          8 |      1,117 |        342 |        266 |      1,725 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Scripts\Editor                                                                                                                                    |          8 |        759 |         79 |        160 |        998 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Scripts\Interfaces                                                                                                                                |          2 |         27 |         47 |         13 |         87 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Scripts\Utils                                                                                                                                     |          4 |        209 |        110 |         49 |        368 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty                                                                                                                                        |        264 |     26,115 |      7,092 |      5,960 |     39,167 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\JSON                                                                                                                                   |          6 |      1,525 |        139 |         72 |      1,736 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\JSON (Files)                                                                                                                           |          4 |      1,433 |        116 |         66 |      1,615 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\JSON\Editor                                                                                                                            |          2 |         92 |         23 |          6 |        121 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp                                                                                                                              |        257 |     24,467 |      6,881 |      5,860 |     37,208 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Debugger                                                                                                                     |          9 |      1,916 |        181 |        446 |      2,543 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Debugger (Files)                                                                                                             |          1 |        275 |         60 |         64 |        399 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Debugger\DebuggerLogic                                                                                                       |          5 |        871 |         17 |        208 |      1,096 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Debugger\SDK                                                                                                                 |          3 |        770 |        104 |        174 |      1,048 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter                                                                                                                  |        248 |     22,551 |      6,700 |      5,414 |     34,665 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter (Files)                                                                                                          |          6 |        616 |        634 |        210 |      1,460 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\CodeAnalysis                                                                                                     |          1 |          6 |          0 |          2 |          8 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Compatibility                                                                                                    |         10 |        547 |          0 |        158 |        705 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Compatibility (Files)                                                                                            |          3 |         67 |          0 |         13 |         80 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Compatibility\Frameworks                                                                                         |          7 |        480 |          0 |        145 |        625 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Compatibility\Frameworks (Files)                                                                                 |          4 |        285 |          0 |         71 |        356 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Compatibility\Frameworks\Base                                                                                    |          3 |        195 |          0 |         74 |        269 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\CoreLib                                                                                                          |         23 |      3,641 |        388 |        868 |      4,897 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\CoreLib (Files)                                                                                                  |         16 |      2,396 |        301 |        669 |      3,366 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\CoreLib\IO                                                                                                       |          5 |        375 |         13 |         87 |        475 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\CoreLib\StringLib                                                                                                |          2 |        870 |         74 |        112 |      1,056 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\DataStructs                                                                                                      |          7 |        505 |        212 |        122 |        839 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\DataTypes                                                                                                        |         19 |      1,876 |      1,202 |        462 |      3,540 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Debugging                                                                                                        |          8 |        328 |        296 |         61 |        685 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Diagnostics                                                                                                      |          8 |        245 |         88 |         50 |        383 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Diagnostics (Files)                                                                                              |          4 |        110 |         80 |         22 |        212 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Diagnostics\PerformanceCounters                                                                                  |          4 |        135 |          8 |         28 |        171 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Errors                                                                                                           |          5 |        339 |        343 |         86 |        768 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution                                                                                                        |         29 |      3,354 |        175 |        806 |      4,335 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution (Files)                                                                                                |          4 |        332 |        118 |         73 |        523 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\Scopes                                                                                                 |          8 |        356 |          7 |        106 |        469 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM                                                                                                     |         17 |      2,666 |         50 |        627 |      3,343 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM (Files)                                                                                             |          7 |        559 |          8 |        141 |        708 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Processor                                                                                           |         10 |      2,107 |         42 |        486 |      2,635 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\IO                                                                                                               |          3 |        247 |         11 |         52 |        310 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop                                                                                                          |         66 |      5,925 |      2,351 |      1,327 |      9,603 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop (Files)                                                                                                  |         12 |        668 |        465 |        153 |      1,286 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Attributes                                                                                               |          6 |         78 |         55 |         23 |        156 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\BasicDescriptors                                                                                         |          6 |        550 |        394 |        153 |      1,097 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Converters                                                                                               |          5 |        654 |         75 |        142 |        871 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\LuaStateInterop                                                                                          |          6 |      1,147 |        192 |        172 |      1,511 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\PredefinedUserData                                                                                       |          2 |         97 |         21 |         23 |        141 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\ProxyObjects                                                                                             |          2 |         46 |         45 |         12 |        103 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\RegistrationPolicies                                                                                     |          4 |         54 |         67 |         13 |        134 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors                                                                                      |         21 |      2,258 |        930 |        548 |      3,736 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors (Files)                                                                              |          7 |        651 |        285 |        161 |      1,097 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\HardwiredDescriptors                                                                 |          4 |         86 |          0 |         26 |        112 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\MemberDescriptors                                                                    |          4 |        351 |        210 |         81 |        642 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\ReflectionMemberDescriptors                                                          |          6 |      1,170 |        435 |        280 |      1,885 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\UserDataRegistries                                                                                       |          2 |        373 |        107 |         88 |        568 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Loaders                                                                                                          |          6 |        265 |        168 |         71 |        504 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Modules                                                                                                          |          5 |        222 |        136 |         61 |        419 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Options                                                                                                          |          1 |         13 |         13 |          2 |         28 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Platforms                                                                                                        |          7 |        590 |        509 |        137 |      1,236 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\REPL                                                                                                             |          3 |        148 |         79 |         38 |        265 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Serialization                                                                                                    |          4 |        344 |         33 |         66 |        443 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Serialization (Files)                                                                                            |          2 |        134 |          4 |         35 |        173 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Serialization\Json                                                                                               |          2 |        210 |         29 |         31 |        270 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Tree                                                                                                             |         37 |      3,340 |         62 |        835 |      4,237 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Tree (Files)                                                                                                     |          5 |        366 |          9 |         96 |        471 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Tree\Expressions                                                                                                 |         11 |      1,074 |         12 |        259 |      1,345 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Tree\Fast_Interface                                                                                              |          1 |         90 |          4 |         23 |        117 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Tree\Lexer                                                                                                       |          4 |        959 |         15 |        156 |      1,130 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Tree\Statements                                                                                                  |         16 |        851 |         22 |        301 |      1,174 |
| SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\TaskManager                                                                                                                            |          1 |        123 |         72 |         28 |        223 |
| SE_LOCM\Assets\Fungus\Thirdparty\LeanTween                                                                                                                                                   |          6 |      4,131 |      1,854 |        870 |      6,855 |
| SE_LOCM\Assets\Fungus\Thirdparty\LineEndings                                                                                                                                                 |          2 |        125 |         43 |          9 |        177 |
| SE_LOCM\Assets\Fungus\Thirdparty\LineEndings\Editor                                                                                                                                          |          2 |        125 |         43 |          9 |        177 |
| SE_LOCM\Assets\Fungus\Thirdparty\Microsoft                                                                                                                                                   |          1 |        514 |         21 |         61 |        596 |
| SE_LOCM\Assets\Fungus\Thirdparty\TextMeshPro                                                                                                                                                 |         15 |      2,007 |         72 |        519 |      2,598 |
| SE_LOCM\Assets\Fungus\Thirdparty\TextMeshPro\Resources                                                                                                                                       |         14 |      1,852 |         72 |        517 |      2,441 |
| SE_LOCM\Assets\Fungus\Thirdparty\TextMeshPro\Resources\Shaders                                                                                                                               |         14 |      1,852 |         72 |        517 |      2,441 |
| SE_LOCM\Assets\Fungus\Thirdparty\TextMeshPro\Sprites                                                                                                                                         |          1 |        155 |          0 |          2 |        157 |
| SE_LOCM\Assets\Fungus\Thirdparty\Usfxr                                                                                                                                                       |          6 |      1,680 |        510 |        481 |      2,671 |
| SE_LOCM\Assets\Fungus\Thirdparty\Usfxr\Editor                                                                                                                                                |          2 |        357 |         79 |         75 |        511 |
| SE_LOCM\Assets\Fungus\Thirdparty\Usfxr\Scripts                                                                                                                                               |          4 |      1,323 |        431 |        406 |      2,160 |
| SE_LOCM\Assets\Fungus\Thirdparty\iTween                                                                                                                                                      |          1 |      3,313 |      3,429 |        655 |      7,397 |
| SE_LOCM\Packages                                                                                                                                                                             |          2 |        557 |          0 |          2 |        559 |
| SE_LOCM\ProjectSettings                                                                                                                                                                      |          1 |        121 |          0 |          0 |        121 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                     | language                | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| h:\unity\SE-LOCM\.vs\CMakeWorkspaceSettings.json                                                                                                                                             | JSON                    |          3 |          0 |          0 |          3 |
| h:\unity\SE-LOCM\.vs\ProjectSettings.json                                                                                                                                                    | JSON                    |          3 |          0 |          0 |          3 |
| h:\unity\SE-LOCM\.vs\VSWorkspaceState.json                                                                                                                                                   | JSON                    |          6 |          0 |          0 |          6 |
| h:\unity\SE-LOCM\README.md                                                                                                                                                                   | Markdown                |          2 |          0 |          0 |          2 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\DOTween\Modules\DOTweenModuleAudio.cs                                                                                                                        | C#                      |         94 |         80 |         25 |        199 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\DOTween\Modules\DOTweenModuleEPOOutline.cs                                                                                                                   | C#                      |        109 |         18 |         20 |        147 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\DOTween\Modules\DOTweenModulePhysics.cs                                                                                                                      | C#                      |        137 |         60 |         20 |        217 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\DOTween\Modules\DOTweenModulePhysics2D.cs                                                                                                                    | C#                      |        125 |         51 |         18 |        194 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\DOTween\Modules\DOTweenModuleSprite.cs                                                                                                                       | C#                      |         63 |         17 |         14 |         94 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\DOTween\Modules\DOTweenModuleUI.cs                                                                                                                           | C#                      |        390 |        203 |         70 |        663 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\DOTween\Modules\DOTweenModuleUnityVersion.cs                                                                                                                 | C#                      |        254 |         99 |         37 |        390 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\DOTween\Modules\DOTweenModuleUtils.cs                                                                                                                        | C#                      |        123 |         27 |         18 |        168 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\FirstPerson\Scripts\FPDemoPriorityRouter.cs                                                                                                   | C#                      |         46 |          3 |          9 |         58 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\FirstPerson\Scripts\ForceCursorVisible.cs                                                                                                     | C#                      |         15 |          5 |          3 |         23 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\FirstPerson\Scripts\LookingAtDoor.cs                                                                                                          | C#                      |         42 |          2 |          6 |         50 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\FirstPerson\Scripts\SimpleForceMovement.cs                                                                                                    | C#                      |         27 |          7 |          7 |         41 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\FirstPerson\Scripts\SimpleMouseLook.cs                                                                                                        | C#                      |         22 |          8 |          6 |         36 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\FungusExamples.asmdef                                                                                                                         | UnityAssemblyDefinition |         14 |          0 |          0 |         14 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\FungusLua\Bindings\CustomScript.cs                                                                                                            | C#                      |         17 |          2 |          8 |         27 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\Localization\localization.csv                                                                                                                 | CSV                     |          6 |          0 |          1 |          7 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\MonoBehEvents\SpriteColorChangeFromFungusMouseEvent.cs                                                                                        | C#                      |         21 |          2 |          4 |         27 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\Playground\ReadMe.md                                                                                                                          | Markdown                |         30 |          0 |         16 |         46 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\TextMeshPro\README.md                                                                                                                         | Markdown                |          6 |          0 |          1 |          7 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\FungusExamples\TextMeshPro\TMProLinkStylingDemo.cs                                                                                                           | C#                      |         59 |          8 |          5 |         72 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Fungus.asmdef                                                                                                                                         | UnityAssemblyDefinition |         15 |          0 |          0 |         15 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Commands\AssertCommand.cs                                                                                                                     | C#                      |         53 |          5 |         12 |         70 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Commands\Break.cs                                                                                                                             | C#                      |         39 |          8 |          6 |         53 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Commands\Call.cs                                                                                                                              | C#                      |        126 |         17 |         23 |        166 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Commands\CallMethod.cs                                                                                                                        | C#                      |         57 |          7 |         14 |         78 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Commands\ClearMenu.cs                                                                                                                         | C#                      |         31 |          5 |          9 |         45 |
