序号,《九章》原文问题,《九章》原文答案,可作为选项的错误答案
219,今有米三斗少半升，欲为粟。以米求粟，二十五之，十二而一。问得几何？,为粟六斗三升三十六分升之七,为粟六斗二升二十六分升之七
220,今有御米十四斗，欲为粟。以御米求粟，五十之，二十一而一。问得几何？,为粟三十三斗三升少半升,为粟三十斗四升少半升
221,今有稻一十二斗六升一十五分升之一十四，欲为粟。以稻求粟，五之，六而一。问得几何？,为粟一十斗五升九分升之七,为粟一十斗四升八分升之七
222,今有厉米一十九斗二升七分升之一，欲为卑米。以厉米求卑米，九之，十而一。问得几何？,为卑米一十七斗二升一十四分升之一十三,为卑米一十七斗二升四分升之一
223,今有厉米六斗四升五分升之三，欲为厉饭。以厉米求厉饭，五之，二而一。问得几何？,为厉饭一十六斗一升半,为厉饭一十五斗二升半
224,今有厉饭七斗六升七分升之四，欲为飧。以厉饭求飧，六之，五而一。问得几何？,为飧九斗一升三十五分升之三十一,为飧七斗一升三十分升之三十一
225,今有菽一斗，欲为熟菽。以菽求熟菽，二十三之，十而一。问得几何？,为熟菽二斗三升,为熟菽三斗二升
226,今有菽二斗，欲为豉。以菽求豉，七之，五而一。问得几何？,为豉二斗八升,为豉三斗四升
227,今有麦八斗六升七分升之三，欲为小麦。以麦求小麦，三之，十而一。问得几何？,为小麦二斗五升一十四分升之一十三,为小麦五斗二升一十五分升之一十三
228,今有麦一斗，欲为大麦。以麦求大麦，六之，五而一。问得几何？,为大卞一斗二升,为大卞二斗一升
229,今有出钱一百六十，买瓴甓十八枚。问枚几何？,一枚八钱九分钱之八,一枚九钱八分钱之七
230,今有出钱一万三千五百，买竹二千三百五十个。问个几何？,一个，五钱四十七分钱之三十五,一个，四钱五十七分钱之三十一
231,今有出钱五千七百八十五，买漆一斛六斗七升太半升。欲斗率之，问斗几何？,一斗，三百四十五钱五百三分钱之一十五,一斗，四百三十五钱五百三分钱之一十四
232,今有出钱七百二十，买绸一匹二丈一尺。欲丈率之，问丈几何？,一丈，一百一十八钱六十一分钱之二,一丈，一百一十二钱六十分钱之七
233,今有出钱二千三百七十，买布九匹二丈七尺。欲匹率之，问匹几何？,一匹，二百四十四钱一百二十九分钱之一百二十四,一匹，二百四十钱一百二十九分钱之一百二十五
234,今有出钱一万三千六百七十，买丝一石二钧一十七斤。欲石率之，问石几何？,一石，八千三百二十六钱一百九十七分钱之百七十八,一石，九千三百二十六钱一百九十七分钱之百七十六
235,今有出钱五百七十六，买竹七十八个。欲其大小率之，问各几何？,其四十八个，个七钱；其三十个，个八钱,其四十四个，个五钱；其三十个，个八钱
236,今有出钱一千一百二十，买丝一石二钧十八斤。欲其贵贱斤率之，问各几何？,其二钧八斤，斤五钱；其一石一十斤，斤六钱,其二钧八斤，斤四钱；其一石一十斤，斤七钱
237,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱石率之，问各几何？,其一钧九两一十二铢，石八千五十一钱；其一石一钧二十七斤九两一十七铢，石八千五十二钱,其一钧九两一十三铢，石八千五十一钱；其一石一钧一十七斤九两一十七铢，石八千五十三钱
238,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱钧率之，问各几何？,其七斤一十两九铢，钧二千一十二钱；其一石二钧二十斤八两二十铢，钧二千一十三钱,其七斤一十两八铢，钧二千一十三钱；其一石二钧二十斤八两二十一铢，钧二千一十四钱
239,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱斤率之，问各几何？,其一石二钧七斤十两四铢，斤六十七钱；其二十斤九两一铢，斤六十八钱,其一石二钧七斤十两四铢，斤六十钱；其二十一斤九两一铢，斤六十八钱
240,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱两率之，问各几何？,其一石一钧一十七斤一十四两一铢，两四钱；其一钧一十斤五两四铢，两五钱,其一石一钧三十七斤一十四两一铢，两四钱；其一钧二十斤五两四铢，两五钱
241,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱铢率之，问各几何？,其一钧二十斤六两十一铢，五铢一钱；其一石一钧七斤一十二两一十八铢，六铢一钱,其一钧二十斤六两十一铢，四铢一钱；其一石一钧七斤二十二两一十六铢，六铢一钱
242,今有出钱六百二十，买羽二千一百侯。欲其贵贱率之，问各几何？,其一千一百四十侯，三侯一钱；其九百六十侯，四侯钱,其一千一百四十侯，三侯一钱；其九百六十侯，四侯钱
243,今有出钱九百八十，买矢五千八百二十枚。欲其贵贱率之，问各几何？,其三百枚，五枚一钱；其五千五百二十枚，六枚一钱,其三百枚，四枚一钱；其五千四百二十枚，五枚一钱
301,今有大夫、不更、簪袅、上造、公士，凡五人，共猎得五鹿。列置爵数，各自为衰。爵数者，谓大夫五，不更四，簪袅三，上造二，公士一也。欲以爵次分之，问各得几何？,大夫得一鹿三分鹿之二；不更得一鹿三分鹿之一；簪袅得一鹿；上造得三分鹿之二；公士得三分鹿之一,大夫得一鹿三分鹿之一；不更得一鹿四分鹿之一；簪袅得一鹿；上造得三分鹿之二；公士得三分鹿之一
302,今有牛、马、羊食人苗。苗主责之粟五斗。羊主曰：“我羊食半马。”马主曰：“我马食半牛。”今欲衰偿之，问各出几何？,牛主出二斗八升七分升之四；马主出一斗四升七分升之二；羊主出七升七分升之一,牛主出二斗八升七分升之三；马主出一斗四升七分升之二；羊主出七升七分升之一
303,今有甲持钱五百六十，乙持钱三百五十，丙持钱一百八十，凡三人俱出关，关税百钱。欲以钱数多少衰出之，问各几何？,甲出五十一钱一百九分钱之四十一；乙出三十二钱一百九分钱之一十二；丙出一十六钱一百九分钱之五十六,甲出五十一钱一百九分钱之四十三；乙出三十二钱一百九分钱之一十三；丙出一十六钱一百九分钱之五十七
304,今有女子善织，日自倍，五日织五尺。问日织几何？,初日织一寸三十一分寸之十九；次日织三寸三十一分寸之七；次日织六寸三十一分寸之十四；次日织一尺二寸三十一分寸之二十八；次日织二尺五寸三十一分寸之二十五,初日织一寸三十一分寸之十七；次日织三寸三十一分寸之五；次日织六寸三十一分寸之十三；次日织一尺二寸三十一分寸之二十四；次日织二尺五寸三十一分寸之二十三
305,今有北乡算八千七百五十八，西乡算七千二百三十六，南乡算八千三百五十六。凡三乡发徭三百七十八人。欲以算数多少衰出之，问各几何？,北乡遣一百三十五人一万二千一百七十五分人之一万一千六百三十七；西乡遣一百一十二人一万二千一百七十五分人之四千四；南乡遣一百二十九人一万二千一百七十五分人之八千七百九,北乡遣一百三十五人一万二千一百七十五分人之一万一千六百三十九；西乡遣一百一十二人一万二千一百七十五分人之四千四百一十一；南乡遣一百二十九人一万二千一百七十五分人之八千七百七
306,今有禀粟，大夫、不更、簪袅、上造、公士，凡五人，一十五斗。今有大夫一人后来，亦当禀五斗。仓无粟，欲以衰出之，问各几何？,大夫出一斗四分斗之一；不更出一斗；簪袅出四分斗之三；上造出四分斗之二；公士出四分斗之一,大夫出一斗三分斗之一；不更出一斗；簪袅出三分斗之二；上造出四分斗之一；公士出五分斗之一
307,今有禀粟五斛，五人分之。欲令三人得三，二人得二，问各几何？,三人，人得一斛一斗五升十三分升之五；二人，人得七斗六升十三分升之十二,三人，人得一斛一斗五升十三分升之五；二人，人得七斗七升十三分升之十一
308,今有大夫、不更、簪袅、上造、公士凡五人，共出百钱。欲令高爵出少，以次渐多，问各几何？,大夫出八钱一百三十七分钱之一百四；不更出一十钱一百三十七分钱之一百三十；簪袅出一十四钱一百三十七分钱之八十二；上造出二十一钱一百三十七分钱之一百二十三；公士出四十三钱一百三十七分钱之一百九,大夫出八钱一百三十七分钱之一百二；不更出一十钱一百三十七分钱之一百一十；簪袅出一十四钱一百三十七分钱之八十；上造出二十一钱一百三十七分钱之一百一十三；公士出四十三钱一百三十七分钱之一百八
309,今有甲持粟三升，乙持厉米三升，丙持厉饭三升。以粟率五十、厉米率三十、厉饭率七十五为衰。欲令合而分之，问各几何？,甲二升一十分升之七；乙四升一十分升之五；丙一升一十分升之八,甲二升一十分升之五；乙四升一十分升之三；丙一升一十分升之七
310,今有丝一斤，价直二百四十。今有钱一千三百二十八，问得丝几何？,五斤八两一十二铢五分铢之四,八斤五两一十二铢五分铢之四
311,今有丝一斤，价直三百四十五。今有丝七两一十二铢，问得钱几何？,一百六十一钱三十二分钱之二十三,一百六十三钱三十分钱之一十七
312,今有绸一丈，价直一百二十八。今有绸一匹九尺五寸，问得钱几何？,六百三十三钱五分钱之三,六百三十二钱五分钱之四
313,今有布一匹，价直一百二十五。今有布二丈七尺，问得钱几何？,八十四钱八分钱之三,八十四钱七分钱之三
314,今有素一匹一丈，价直六百二十五。今有钱五百，问得素几何？,得素一匹,得素一匹半
315,今有与人丝一十四斤，约得绸一十斤。今与人丝四十五斤八两，问得绸几何？,三十二斤八两,三十一斤九两
316,今有丝一斤，耗七两。今有丝二十三斤五两，问耗几何？,一百六十三两四铢半,一百六十三两四铢
317,今有生丝三十斤，干之，耗三斤十二两。今有干丝一十二斤，问生丝几何？,一十三斤一十一两十铢七分铢之二,一十二斤一十一两十铢七分铢之三
318,今有田一亩，收粟六升太半升。以亩二百四十步为法。今有田一顷二十六亩一百五十九步，问收粟几何？,八斛四斗四升一十二分升之五,四斛八斗四升一十二分升之七
319,今有取保，一岁价钱二千五百。今先取一千二百，问当作日几何？,一百六十九日二十五分日之二十三,一百六十七日二十五分日之二十一
320,今有贷人千钱，月息三十。以月三十日乘千钱为法。今有贷人七百五十钱，九日归之，问息几何？,六钱四分钱之三,六钱五分钱之四
401,今有田广一步半。求田一亩，问从几何？,一百六十步,一百五十步
402,今有田广一步半、三分步之一。求田一亩，问从几何？,一百三十步一十一分步之一十,一百一十步三十一分步之一十
403,今有田广一步半、三分步之一、四分步之一。求田一亩，问从几何？,一百一十五步五分步之一,一百一十五步四分步之三
404,今有田广一步半、三分步之一、四分步之一、五分步之一。求田一亩，问从几何？,一百五步一百三十七分步之一十五,一百四步一百三十七分步之一十三
405,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一。求田一亩，问从几何？,九十七步四十九分步之四十七,九十六步四十七分步之四十三
406,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一。求田一亩，问从几何？,九十二步一百二十一分步之六十八,九十一步一百二十分步之六十一
407,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一。求田一亩，问从几何？,八十八步七百六十一分步之二百三十二,八十六步七百六十一分步之二百一十二
408,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一、九分步之一。求田一亩，问从几何？,八十四步七千一百二十九分步之五千九百六十四,八十四步六千一百二十七分步之五千九百五十三
409,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一、九分步之一、十分步之一。求田一亩、问从几何？,八十一步七千三百八十一分步之六千九百三十九,八十七步一千八百三十一分步之六千九百三十三
410,今有田广一步半、三分步之一、四分之步一、五分步之一、六分步之一、七分步之一、八分步之一、九分步之一、十分步之一、十一分步之一。求田一亩，问从几何？,七十九步八万三千七百一十一分步之三万九千六百三十一,九十七步三万八千七百一十一分步之三万九千六百三十七
411,今有田广一步半、三分步之一、四分步之一，五分步之一、六分步之一、七分步之一、八分步之一、九分步之一、十分步之一、十一分步之一、十二分步之一。求田一亩，问从几何？,七十七步八万六千二十一分步之二万九千一百八十三,七十步八万五千二十一分步之二万九千一百八十三
412,今有积五万五千二百二十五步，问为方几何？,二百三十五步,二百三十步
413,又有积二万五千二百八十一步，问为方几何？,一百五十九步,一百五十六步
414,又有积七万一千八百二十四步，问为方几何？,二百六十八步,二百六十步
415,又有积五十六万四千七百五十二步四分步之一，问为方几何？,七百五十一步半,七百五十二步
416,又有积三十九亿七千二百一十五万六百二十五步，问为方几何？,六万三千二十五步,六万三千二十四步
417,今有积一千五百一十八步四分步之三。问为圆周几何？,一百三十五步,一百三十二步
418,又有积三百步，问为圆周几何？,六十步,六十二步
419,今有积一百八十六万八百六十七尺，问为立方几何？,一百二十三尺,一百一十八尺
420,又有积一千九百五十三尺八分尺之一，问为立方几何？,一十二尺半,一十一尺半
421,又有积六万三千四百一尺五百一十二分尺之四百四十七，问为立方几何？,三十九尺八分尺之七,四十尺八分尺之三
422,又有积一百九十三万七千五百四十一尺二十七分尺之一十七，问为立方几何？,一百二十四尺太半尺,一百二十五尺太半尺
423,今有积四千五百尺。问为立圆径几何？,二十尺,二十一尺
424,又有积一万六千四百四十八亿六千六百四十三万七千五百尺。问为立圆径几何？,一万四千三百尺,一万四千三百三十尺
501,今有穿地，袤一丈六尺，深一丈，上广六尺，为垣积五百七十六尺。问穿地下广几何？,三尺五分尺之三,三尺五分尺之二
502,今有城下广四丈，上广二丈，高五丈，袤一百二十六丈五尺。问积几何？答曰：一百八十九万七千五百尺：今有垣下广三尺，上广二尺，高一丈二尺，袤二十二丈五尺八寸。问积几何？,六千七百七十四尺,六千七百七十五尺
503,今有堤下广二丈，上广八尺，高四尺，袤一十二丈七尺。问积几何？,七千一百一十二尺,七千一百一十尺
504,今有堤积七千一百一十二尺，冬程人功四百四十四尺，问用徒几何？,一十六人二百一十一分人之二,一十六人二百一十一分人之三
505,今有沟，上广一丈五尺，下广一丈，深五尺，袤七丈。问积几何？,四千三百七十五尺,四千三百八十尺
506,今有沟积四千三百七十五尺，春程人功七百六十六尺，并出土功五分之一，定功六百一十二尺五分尺之四。问用徒几何？,七人三千六十四分人之四百二十七,七人三千六十四分人之四百一十七
507,今有堑，上广一丈六尺三寸，下广一丈，深六尺三寸，袤一十三丈二尺一寸。问积几何？,一万九百四十三尺八寸,一万九百四十一尺九寸
508,今有堑积一万九百四十三尺八寸。夏程人功八百七十一尺，并出土功五分之一，沙砾水石之功作太半，定功二百三十二尺一十五分尺之四。问用徒几何？,四十七人三千四百八十四分人之四百九,四十人三千四百八十四分人之四百七
509,今有穿渠，上广一丈八尺，下广三尺六寸，深一丈八尺，袤五万一千八百二十四尺。问积几何？,一千七万四千五百八十五尺六寸,一千七万五千四百八十六尺五寸
510,今有穿渠积一千七万四千五百八十五尺六寸。秋程人功三百尺，问用徒几何？,三万三千五百八十二人,三万三千五百八十人
511,今有方堡，方一丈六尺，高一丈五尺。问积几何？,三千八百四十尺,三千八百四十七尺
512,今有圆堡，周四丈八尺，高一丈一尺。问积几何？,二千一百一十二尺,二千一百一十七尺
513,今有方亭，下方五丈，上方四丈，高五丈。问积几何？,一十万一千六百六十六尺太半尺,一十万一千六百六十六尺
514,今有圆亭，下周三丈，上周二丈，高一丈。问积几何？,五百二十七尺九分尺之七,五百二十七尺九分尺之五
515,今有方锥，下方二丈七尺，高二丈九尺。问积几何？,七千四十七尺,七千四十五尺
516,今有圆锥，下周三丈五尺，高五丈一尺。问积几何？,一千七百三十五尺一十二分尺之五,一千七百三十五尺一十二分尺之七
517,今有堑堵，下广二丈，袤一十八丈六尺，高二丈五尺。问积几何？,四万六千五百尺,四万六千五百一十三尺
518,今有阳马，广五尺，袤七尺，高八尺。问积几何？,九十三尺少半尺,九十三尺
519,今有鳖臑，下广五尺，无袤；上袤四尺，无广；高七尺。问积几何？,二十三尺少半尺,二十三尺太半尺
520,今有羡除，下广六尺，上广一丈，深三尺；末广八尺，无深；袤七尺。问积几何？,八十四尺,八十尺
521,今有刍甍，下广三丈，袤四丈；上袤二丈，无广；高一丈。问积几何？,五千尺,五千七百一十尺
522,今有刍童，下广二丈，袤三丈；上广三丈，袤四丈；高三丈。问积几何？,二万六千五百尺,二万五千六百尺
523,今有曲池，上中周二丈，外周四丈，广一丈；下中周一丈四尺，外周二丈四尺，广五尺；深一丈。问积几何？,一千八百八十三尺三寸少半寸,一千八百三十把尺三寸太半寸
524,今有盘池，上广六丈，袤八丈；下广四丈，袤六丈，深二丈。问积几何？,七万六百六十六尺太半尺,六万七百六十六尺少半尺
525,负土往来七十步，其二十步上下棚除，棚除二当平道五；踟蹰之间十加一；载输之间三十步，定一返一百四十步。土笼积一尺六寸。秋程人功行五十九里半。问人到积尺及用徒各几何？,人到二百四尺。用徒三百四十六人一百五十三分人之六十二,人到二百尺。用徒三百四十六人一百五十三分人之六十七。
526,今有冥谷，上广二丈，袤七丈；下广八尺，袤四丈；深六丈五尺。问积几何？,五万二千尺,五万二千一十一尺
527,今有委粟平地，下周一十二丈，高二丈。问积及为粟几何？,积八千尺,积八千五百尺
528,今有委菽依垣，下周三丈，高七尺。问积及为菽各几何？,积三百五十尺,积三百尺
529,今有委米依垣内角，下周八尺，高五尺。问积及为米各几何？,积三十五尺九分尺之五,积三十四尺九分尺之七
530,今有仓，广三丈，袤四丈五尺，容粟一万斛。问高几何？,二丈,二丈半
531,今有圆囤高一丈三尺三寸少半寸，容米二千斛。问周几何？,五丈四尺,五丈六尺
601,今有均输卒：甲县一千二百人，薄塞；乙县一千五百五十人，行道一日；丙县一千二百八十人，行道二日；丁县九百九十人，行道三日；戊县一千七百五十人，行道五日。凡五县赋输卒一月一千二百人。欲以远近、人数多少衰出之，问县各几何？,甲县二百二十九人。乙县二百八十六人。丙县二百二十八人。丁县一百七十一人。戊县二百八十六人。,甲县二百九十二人。乙县二百八十人。丙县二百二十九人。丁县一百七十人。戊县二百六十八人。
602,今有均赋粟：甲县二万五百二十户，粟一斛二十钱，自输其县；乙县一万二千三百一十二户，粟一斛一十钱，至输所二百里；丙县七千一百八十二户，粟一斛一十二钱，至输所一百五十里；丁县一万三千三百三十八户，粟一斛一十七钱，至输所二百五十里；戊县五千一百三十户，粟一斛一十三钱，至输所一百五十里。凡五县赋输粟一万斛。一车载二十五斛，与僦一里一钱。欲以县户赋粟，令费劳等，问县各粟几何？,甲县三千五百七十一斛二千八百七十三分斛之五百一十七。乙县二千三百八十斛二千八百七十三分斛之二千二百六十。丙县一千三百八十八斛二千八百七十三分斛之二千二百七十六。丁县一千七百一十九斛二千八百七十三分斛之一千三百一十三。戊县九百三十九斛二千八百七十三分斛之二千二百五十三,甲县三千五百七十斛二千八百七十分斛之五百一十七。乙县二千三百八十斛二千八百七十分斛之二千二百六十一。丙县一千八百三十八斛二千八百七十一分斛之二千二百七十。丁县一千七百一十九斛二千八百七十三分斛之一千三百一十三。戊县九百三十九斛二千八百七十三分斛之二千二百五十
603,今有均赋粟：甲县四万二千算，粟一斛二十，自输其县；乙县三万四千二百七十二算，粟一斛一十八，佣价一日一十钱，到输所七十里；丙县一万九千三百二十八算，粟一斛一十六，佣价一日五钱，到输所一百四十里；丁县一万七千七百算，粟一斛一十四，佣价一日五钱，到输所一百七十五里；戊县二万三千四十算，粟一斛一十二，佣价一日五钱，到输所二百一十里；己县一万九千一百三十六算，粟一斛一十，佣价一日五钱，到输所二百八十里。凡六县赋粟六万斛，皆输甲县。六人共车，车载二十五斛，重车日行五十里，空车日行七十里，载输之间各一日。粟有贵贱，佣各别价，以算出钱，令费劳等，问县各粟几何？,甲县一万八千九百四十七斛一百三十三分斛之四十九。乙县一万八百二十七斛一百三十三分斛之九，丙县七千二百一十八斛一百三十三分斛之六。丁县六千七百六十六斛一百三十三分斛之一百二十二。戊县九千二十二斛一百三十三分斛之七十四。己县七千二百一十八斛一百三十三分斛之六,甲县一万七千六百四十一斛一百三十三分斛之四十九。乙县一万二百二十七斛一百三十三分斛之九，丙县七千二百一十八斛一百三十三分斛之七。丁县六千七百六十斛一百三十三分斛之一百二十二。戊县九千二十斛一百三十三分斛之七十四。己县七千二百一十八斛一百三十分斛之七
604,今有粟七斗，三人分舂之，一人为厉米，一人为卑米，一人为米，列置厉米三十，卑米二十七，米二十四，而反衰之。令米数等。问取粟、为米各几何？,厉米取粟二斗一百二十一分斗之一十。卑米取粟二斗一百二十一分斗之三十八。米取粟二斗一百二十一分斗之七十三。为米各一斗六百五分斗之一百五十一,厉米取粟二斗一百二十一分斗之一十三。卑米取粟二斗。米取粟二斗一百二十一分斗之七十三。为米各一斗六百五分斗之一百五十一
605,今有人当禀粟二斛。仓无粟，欲与米一、菽二，以当所禀粟。置米一、菽二，求为粟之数。问各几何？,米五斗一升七分升之三。菽一斛二升七分升之六,米五斗一升七分升之五。菽一斛二升七分升之七
606,今有取佣，负盐二斛，行一百里，与钱四十。今负盐一斛七斗三升少半升，行八十里。问与钱几何？,二十七钱一十五分钱之一十一,二十七钱一十四分钱之一十三
607,今有负笼重一石，行百步，五十返。今负笼重一石一十七斤，行七十六步，问返几何？,五十七返二千六百三分返之一千六百二十九,五十七返六千二百三分返之一千五百二十九
608,今有程传委输，空车日行七十里，重车日行五十里。今载太仓粟输上林，五日三返，问太仓去上林几何？,四十八里一十八分里之一十一,四十里一十六分里之一十一
609,今有络丝一斤为练丝一十二两，练丝一斤为青丝一斤一十二铢。今有青丝一斤，问本络丝几何？,一斤四两一十六铢三十三分铢之一十六,一斤四两一十铢三十分铢之一十九
610,今有恶粟二十斗，舂之，得厉米九斗。今欲求卑米一十斗，问恶粟几何？,二十四斗六升八十一分升之七十四,二十五斗八升六十一分升之七十三
611,今有善行者行一百步，不善行者行六十步。今不善行者先行一百步，善行者追之。问几何步及之？,二百五十步,二百五十一步
612,今有不善行者先行一十里，善行者追之一百里，先至不善行者二十里。问善行者几何里及之？,三十三里少半里,三十三里
613,今有兔先走一百步，犬追之二百五十步，不及三十步而止。问犬不止，复行几何步及之？,一百七步七分步之一,一百七步九分步之一
614,今有人持金十二斤出关，关税之，十分而取一。今关取金二斤，偿钱五千。问金一斤值钱几何？,六千二百五十,六千二百三十
615,今有客马，日行三百里。客去忘持衣。日已三分之一，主人乃觉。持衣追及，与之而还；至家视日四分之三。问主人马不休，日行几何？,七百八十里,七百八十五里
